RMSE,Parameter
103.22821843406842,"[1, 1, 1]"
103.702932101725,"[1, 1, 2]"
97.64080433245938,"[1, 2, 1]"
94.37929133080709,"[1, 2, 2]"
92.94960806431729,"[2, 1, 1]"
102.63629073980317,"[2, 1, 2]"
106.22331538804366,"[2, 2, 1]"
104.27712277472337,"[2, 2, 2]"
